Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,EN_avg,EN_diff,Val_avg,Formation Energy (eV/atom),Energy Above Hull (eV),Band Gap (eV),Total Magnetization (Î¼B),Material ID,3D_Volume_Per_Atom,3D_Density,3D_Crystal_Symmetry
2,6,6,0.89,1.66,1.7,1.4742857142857142,0.521,0.562,1.0468333344830414,0.0211176924949175,1.68,0.04,6.0,-2.23342298566666,0.170293997583339,0.1824,2.99999989999999,mp-1519687,13.25203557008982,7.317498123148009,216.0
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891488,0.0204220558105546,1.4500000000000002,0.3,4.5,-3.4130699325,0.052069121000002,0.0,6.8874179,mp-1519016,13.957646254425475,7.812557022430075,216.0
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.0124999999941404,1.315,0.03,4.0,-3.6694066805,0.04404608825,0.426599999999999,7.0000002,mp-1517277,14.790263624774266,7.353860908032979,216.0
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485816,0.0329199548885835,1.465,0.27,4.5,-3.3493691235,0.06010360025,0.0,6.6693043,mp-1523280,14.510777105571048,6.516125658526424,216.0
2,6,8,0.89,1.66,1.83,1.4742857142857142,0.521,0.6216666666666666,1.0309909970798246,0.0510652688276638,1.745,0.1700000000000001,7.0,-5.153567591,0.0,0.0,9.6463861,mp-1518724,14.24298796819626,5.810836543668298,216.0
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891488,0.0204220558105546,1.4500000000000002,0.3,4.5,-3.06633499966666,0.096817413222229,0.622799999999999,0.0,mp-1516647,14.323828646232272,7.182204658895926,216.0
2,4,4,0.89,1.3,1.54,1.4742857142857142,0.72,0.6341666666666667,0.978500422361714,0.041323971895852,1.42,0.24,4.0,-3.104368333,0.190470733819445,0.0,8e-07,mp-1522487,13.495101113021127,7.069061804298434,216.0
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.0299556522316346,1.765,0.1300000000000001,7.0,-2.08932370766666,0.1948221645,0.0,4.9754546,mp-1522067,13.453175819820341,7.25560058097591,216.0
2,9,9,0.89,2.2,1.88,1.4742857142857142,0.625,0.6255555555555555,1.0035299558559871,0.0002743107939943,2.04,0.3200000000000003,9.0,-2.2561880905,0.077274600458354,0.0,4.9919466,mp-1228112,13.188035969388338,7.849123967981792,1.0
2,6,6,0.89,1.66,2.16,1.4742857142857142,0.521,0.58,1.0420030345563909,0.0302486541757249,1.91,0.5000000000000002,6.0,-2.7249114925,0.136250090285706,0.0,4.995957,mp-1229299,13.272310643364946,6.507941820969998,216.0
2,7,6,0.89,1.55,2.16,1.4742857142857142,0.586,0.58,1.0249253247172547,0.0030257186066435,1.855,0.6100000000000001,6.5,-2.6442282702931,0.193645975828825,0.382399999999999,6.0003792,mp-40356,13.872823300508227,6.261446936672876,216.0
