Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Formation Energy (eV/atom),Space Group
2,8,5,0.89,1.83,1.63,1.4742857142857142,0.6216666666666666,0.576875,1.0165840890759161,0.022404001447659076,-2.568807841,P6_3/mmc
2,5,6,0.89,1.63,2.16,1.4742857142857142,0.576875,0.58,1.0272889181046378,0.00157952929947017,-2.6755853955,Fm-3m
2,9,3,0.89,2.2,1.22,1.4742857142857142,0.625,0.9884999999999999,0.9210046081286053,0.1647218759874376,-2.76159472999999,Fm-3m
2,8,3,0.89,2.2,1.22,1.4742857142857142,0.521,0.9884999999999999,0.943230963671926,0.21696252455414192,-2.831114415,Fm-3m
2,4,4,0.89,1.33,1.54,1.4742857142857142,0.7466666666666667,0.6341666666666667,0.972259239681829,0.05381702209903104,-3.56091773233333,Fm-3m
2,4,6,0.89,1.33,1.7,1.4742857142857142,0.7466666666666667,0.562,0.9893364849616167,0.08989128666726039,-3.054233885,Fm-3m
2,5,4,1.0,1.6,1.3,1.155,0.677142857142857,0.72,0.8608988956610052,0.020422055810554635,-3.00422916366666,F-43m
2,6,9,1.0,1.66,1.88,1.155,0.521,0.6255555555555555,0.9155618360628428,0.05298572592264028,-2.508303185,Pc
2,6,8,1.0,1.66,1.83,1.155,0.521,0.6216666666666666,0.9164649096805497,0.05106526882766389,-2.73674654549999,Pc
2,6,6,1.0,1.66,2.16,1.155,0.521,0.58,0.9262536915030343,0.03024865417572495,-2.8939462705,Pc
2,6,10,1.0,1.66,1.91,1.155,0.521,0.5714285714285715,0.9282933737238288,0.025911109466629296,-2.54036150849999,Pc
2,6,6,1.0,1.66,1.7,1.155,0.521,0.562,0.9305474248125842,0.021117692494917566,-2.890700132,Pc
2,8,9,1.0,1.83,1.88,1.155,0.6216666666666666,0.6255555555555555,0.8927890420152633,0.0019217570340538453,-2.399504409,Pc
2,8,6,1.0,1.83,2.16,1.155,0.6216666666666666,0.58,0.9029526823622547,0.020824656382761444,-2.712180774,Pc
2,8,10,1.0,1.83,1.91,1.155,0.6216666666666666,0.5714285714285715,0.9048909267456265,0.025162482844710087,-2.352552896,Pc
2,8,10,1.0,1.83,1.91,1.155,0.6216666666666666,0.5714285714285715,0.9048909267456265,0.025162482844710087,-2.348544327,P1
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,-2.7854485645,P1
